measureKey,metricName,countyFips,countyName,value,unit,period,periodEnd,marginOfError90,derivation,formula,sourceIds
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06097,Sonoma,33.51874742480428,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06001,Alameda,80.48584082673467,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06013,Contra Costa,77.68005704777752,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06041,Marin,69.22169811320755,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06055,Napa,57.64546684709067,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06075,San Francisco,52.49436755712906,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06081,San Mateo,63.03294573643411,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06085,Santa Clara,66.8448098663926,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06095,Solano,85.75986078886311,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
production.permitting_timelines.timeline_match_rate_pct,Timeline match rate among projects with usable identifiers,06097,Sonoma,70.71524966261808,percent,2018-2025 matched records,2025-12-31,,derived,matched projects / application project keys with a usable exact tracking ID or APN * 100,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06001,Alameda,25.72292272,percent,2024,2024-12-31,0.45637269,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06013,Contra Costa,21.28352789,percent,2024,2024-12-31,0.48271495,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
