countyFips,countyName,section,measureKey,metricName,value,unit,period,periodEnd,marginOfError90,derivation,sourceIds
06055,Napa,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,625.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06075,San Francisco,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,949.5,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06081,San Mateo,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,580.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06085,Santa Clara,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,541.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06095,Solano,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,323.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06097,Sonoma,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,549.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06001,Alameda,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,25.72292272,percent,2024,2024-12-31,0.45637269,derived,['CENSUS_ACS5_DETAIL']
06013,Contra Costa,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,21.28352789,percent,2024,2024-12-31,0.48271495,derived,['CENSUS_ACS5_DETAIL']
06041,Marin,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,31.46419474,percent,2024,2024-12-31,1.04036303,derived,['CENSUS_ACS5_DETAIL']
06055,Napa,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,14.55581731,percent,2024,2024-12-31,1.04548819,derived,['CENSUS_ACS5_DETAIL']
06075,San Francisco,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,31.00079762,percent,2024,2024-12-31,0.63382128,derived,['CENSUS_ACS5_DETAIL']
06081,San Mateo,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,24.25330543,percent,2024,2024-12-31,0.57127071,derived,['CENSUS_ACS5_DETAIL']
06085,Santa Clara,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,23.87581248,percent,2024,2024-12-31,0.43927513,derived,['CENSUS_ACS5_DETAIL']
06095,Solano,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,12.24886838,percent,2024,2024-12-31,0.79849913,derived,['CENSUS_ACS5_DETAIL']
06097,Sonoma,Economic connection,equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,15.91767722,percent,2024,2024-12-31,0.58629629,derived,['CENSUS_ACS5_DETAIL']
06001,Alameda,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,7.68278948,percent,2024,2024-12-31,0.27302417,derived,['CENSUS_ACS5_DETAIL']
06013,Contra Costa,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,5.38131462,percent,2024,2024-12-31,0.33377796,derived,['CENSUS_ACS5_DETAIL']
06041,Marin,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,3.61592864,percent,2024,2024-12-31,0.47005562,derived,['CENSUS_ACS5_DETAIL']
06055,Napa,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,1.14294399,percent,2024,2024-12-31,0.33536139,derived,['CENSUS_ACS5_DETAIL']
06075,San Francisco,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,18.73011312,percent,2024,2024-12-31,0.51962697,derived,['CENSUS_ACS5_DETAIL']
06081,San Mateo,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,5.06376838,percent,2024,2024-12-31,0.34460529,derived,['CENSUS_ACS5_DETAIL']
06085,Santa Clara,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,2.33346038,percent,2024,2024-12-31,0.13372298,derived,['CENSUS_ACS5_DETAIL']
06095,Solano,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,1.4566856,percent,2024,2024-12-31,0.24977647,derived,['CENSUS_ACS5_DETAIL']
06097,Sonoma,Economic connection,equity.commuting_and_job_access.public_transport_commute_pct,Workers using public transportation,1.10556408,percent,2024,2024-12-31,0.15685309,derived,['CENSUS_ACS5_DETAIL']
06001,Alameda,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,57.38697201,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06013,Contra Costa,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,51.52697062,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06041,Marin,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,63.96544923,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06055,Napa,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,55.91198848,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06075,San Francisco,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,66.52466525,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06081,San Mateo,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,67.40209922,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06085,Santa Clara,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,43.76625743,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06095,Solano,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,51.45733125,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06097,Sonoma,Economic connection,equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,32.85134985,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06001,Alameda,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,42.61302799,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06013,Contra Costa,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,48.47302938,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06041,Marin,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,36.03455077,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06055,Napa,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,44.08801152,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06075,San Francisco,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,33.47533475,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06081,San Mateo,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,32.59790078,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06085,Santa Clara,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,56.23374257,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06095,Solano,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,48.54266875,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
06097,Sonoma,Economic connection,equity.commuting_and_job_access.local_resident_job_share_pct,Same-county resident share of primary jobs,67.14865015,percent,2023,2023-12-31,,derived,['CENSUS_LEHD_LODES']
