domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06081,San Mateo,2024,2024-12-31,annual five-year estimate,6.8844934979783625,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06085,Santa Clara,2024,2024-12-31,annual five-year estimate,5.591041369857464,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06095,Solano,2024,2024-12-31,annual five-year estimate,3.6206630156740887,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06097,Sonoma,2024,2024-12-31,annual five-year estimate,3.645658263305322,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06001,Alameda,2024,2024-12-31,annual five-year estimate,272737.0,households,2935.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06013,Contra Costa,2024,2024-12-31,annual five-year estimate,132598.0,households,2301.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06041,Marin,2024,2024-12-31,annual five-year estimate,36402.0,households,1167.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06055,Napa,2024,2024-12-31,annual five-year estimate,18208.0,households,750.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06075,San Francisco,2024,2024-12-31,annual five-year estimate,224913.0,households,2332.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06081,San Mateo,2024,2024-12-31,annual five-year estimate,109812.0,households,1879.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
