domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
housing_applications,application_approved_units,Units approved in residential applications,06095,Solano,2025,2025-12-31,annual,1213.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06097,Sonoma,2025,2025-12-31,annual,964.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06001,Alameda,2025,2025-12-31,annual,99.59266802443992,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06013,Contra Costa,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06041,Marin,2025,2025-12-31,annual,99.32432432432432,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06055,Napa,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06075,San Francisco,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06081,San Mateo,2025,2025-12-31,annual,99.48542024013722,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06085,Santa Clara,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06095,Solano,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_decision_approval_share_pct,Approved share of decided application records,06097,Sonoma,2025,2025-12-31,annual,100.0,percent,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_disapproved_units,Units disapproved in residential applications,06001,Alameda,2025,2025-12-31,annual,6.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_disapproved_units,Units disapproved in residential applications,06013,Contra Costa,2025,2025-12-31,annual,0.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
